model,config,task_id,num_nodes,activation_mb,param_mb,op_weighted_cost,prove_time_s,peak_mem_gb
MobileConv,k=8,1,7,1.44,13.13,24.5,18.34,1.04
MobileConv,k=8,2,4,4.95,4.04,34.97,13.07,0.48
MobileConv,k=8,3,10,3.9,3.88,42.92,15.39,0.78
MobileConv,k=8,4,6,2.35,2.07,21.33,7.72,0.35
MobileConv,k=4,0,8,8.67,3.63,52.48,22.23,0.86
MobileConv,k=4,1,4,18.28,0.67,90.94,34.28,1.55
MobileConv,k=4,2,9,5.55,9.25,37.55,17.6,0.58
MobileConv,k=4,3,6,5.31,2.15,35.5,17.83,0.61
MobileConv,k=4,4,6,5.26,1.6,27.38,9.51,0.56
MobileConv,k=4,5,1,9.99,1.97,41.07,17.96,1.04
MobileConv,k=4,6,7,7.53,11.38,58.56,20.84,1.11
MobileConv,k=4,7,4,2.5,1.92,23.64,7.61,0.18
MobileConv,k=4,8,10,9.97,2.94,73.67,30.08,0.94
MobileConv,k=2,0,3,5.43,3.77,35.12,17.45,0.62
MobileConv,k=2,1,3,14.29,3.6,64.86,27.11,1.44
MobileConv,k=2,2,8,13.03,1.23,84.2,27.68,1.33
MobileConv,k=2,3,10,15.16,1.51,91.18,41.27,1.76
MobileConv,k=2,4,3,23.4,0.87,111.29,45.79,2.05
MobileConv,k=2,5,5,10.11,1.14,56.28,27.65,1.03
MobileConv,k=2,6,8,9.57,1.73,56.86,24.27,1.14
MobileConv,k=2,7,12,22.3,2.16,121.84,49.17,1.67
MobileConv,k=2,8,10,10.23,0.65,65.77,33.78,1.23
MobileConv,k=2,9,8,8.17,1.7,46.55,18.08,0.94
MobileConv,k=2,10,6,11.65,13.21,67.17,34.6,1.2
MobileConv,k=2,11,2,33.3,5.8,159.65,69.97,2.66
MobileConv,k=2,12,10,1.57,2.82,24.17,10.29,0.57
MobileConv,k=2,13,9,1.63,7.21,15.48,11.45,0.28
MobileConv,k=2,14,3,4.94,1.1,28.0,14.87,0.71
MobileConv,k=2,15,7,15.76,4.87,95.72,41.08,1.45
MobileConv,k=2,16,6,4.21,2.55,30.06,14.85,0.71
MobileConv,k=2,17,7,9.77,1.78,55.02,16.39,0.83
MobileConv,k=1,0,5,44.91,1.07,212.25,92.6,3.74
MobileConv,k=1,1,7,7.27,0.98,34.7,16.79,0.43
MobileConv,k=1,2,8,5.93,5.0,41.0,22.87,0.91
MobileConv,k=1,3,11,7.93,1.43,50.41,20.27,1.02
MobileConv,k=1,4,5,42.28,3.14,202.61,89.82,3.62
MobileConv,k=1,5,10,11.81,6.78,68.43,31.46,1.32
MobileConv,k=1,6,10,2.8,5.86,39.2,13.77,0.31
MobileConv,k=1,7,11,9.02,8.61,66.65,31.99,1.08
MobileConv,k=1,8,1,11.69,1.97,58.01,23.95,1.52
MobileConv,k=1,9,6,13.89,8.6,74.37,35.73,1.47
MobileConv,k=1,10,4,22.05,1.64,99.46,44.53,2.13
MobileConv,k=1,11,7,5.98,2.37,30.13,17.22,1.16
MobileConv,k=1,12,4,2.08,6.3,16.65,0.2,0.15
MobileConv,k=1,13,2,3.25,17.57,23.88,14.47,0.52
MobileConv,k=1,14,11,3.46,6.36,34.54,18.09,0.67
MobileConv,k=1,15,4,16.55,5.44,92.26,38.29,1.67
MobileConv,k=1,16,5,18.57,1.86,93.79,45.28,1.94
MobileConv,k=1,17,8,9.3,4.59,61.47,25.05,0.54
MobileConv,k=1,18,11,3.55,15.83,39.71,29.7,1.01
MobileConv,k=1,19,8,14.87,1.08,84.07,34.36,1.52
MobileConv,k=1,20,1,1.54,6.18,9.31,4.62,0.2
MobileConv,k=1,21,5,5.27,5.92,32.55,17.71,0.45
MobileConv,k=1,22,1,4.59,2.95,16.84,8.6,0.33
MobileConv,k=1,23,9,13.54,8.19,74.92,35.88,1.81
MobileConv,k=1,24,7,6.96,1.74,49.59,20.15,1.04
MobileConv,k=1,25,6,32.77,3.22,153.03,70.09,3.22
MobileConv,k=1,26,10,5.18,2.09,41.86,15.72,0.13
MobileConv,k=1,27,9,18.15,1.75,94.51,41.18,1.62
MobileConv,k=1,28,9,4.67,5.48,32.56,11.23,0.25
MobileConv,k=1,29,2,10.05,6.67,49.97,24.55,0.44
MobileConv,k=1,30,10,3.01,9.75,46.06,18.01,0.73
MobileConv,k=1,31,8,2.85,1.3,25.27,10.9,0.65
MobileConv,k=1,32,7,16.39,2.18,80.45,36.75,1.62
MobileConv,k=1,33,2,15.54,1.51,70.22,33.01,1.18
MobileConv,k=1,34,8,9.8,4.85,60.13,24.83,0.9
MobileConv,k=1,35,7,19.95,6.41,105.76,50.12,2.35
ResidualConv,Mono,0,59,26.94,19.1,130.41,75.89,3.96
ResidualConv,k=8,0,6,18.1,2.65,96.71,49.43,2.08
ResidualConv,k=8,1,2,3.6,1.5,20.15,4.77,0.53
ResidualConv,k=8,2,12,23.4,1.83,128.07,53.96,2.16
ResidualConv,k=8,3,12,4.61,1.36,46.71,18.52,1.07
ResidualConv,k=8,4,11,6.58,0.6,55.17,23.32,1.28
ResidualConv,k=4,0,2,3.23,11.99,26.89,17.42,0.45
ResidualConv,k=4,1,10,4.96,1.19,41.98,16.72,0.86
ResidualConv,k=4,2,10,2.07,4.13,31.7,8.18,0.35
ResidualConv,k=4,3,7,9.98,1.61,55.69,20.83,1.13
ResidualConv,k=4,4,5,4.73,5.45,30.25,10.5,0.86
ResidualConv,k=4,5,9,9.99,1.38,68.44,25.13,0.61
ResidualConv,k=4,6,6,26.04,2.23,131.98,61.36,2.52
ResidualConv,k=4,7,5,7.25,5.16,39.8,19.85,0.93
ResidualConv,k=4,8,5,11.98,5.07,62.04,27.88,1.25
ResidualConv,k=2,0,6,6.2,1.41,40.24,18.79,0.84
ResidualConv,k=2,1,4,10.71,5.28,51.34,26.41,1.04
ResidualConv,k=2,2,5,8.5,2.73,36.85,19.56,0.6
ResidualConv,k=2,3,6,11.63,2.67,61.91,27.83,1.31
ResidualConv,k=2,4,4,4.61,4.79,36.55,14.66,0.75
ResidualConv,k=2,5,4,7.21,3.39,33.79,16.73,0.7
ResidualConv,k=2,6,1,6.69,4.01,33.0,16.39,0.37
ResidualConv,k=2,7,4,6.14,1.57,32.92,18.26,0.41
ResidualConv,k=2,8,5,25.09,2.81,117.55,54.05,2.41
ResidualConv,k=2,9,7,2.23,3.97,25.66,16.43,0.54
ResidualConv,k=2,10,5,9.03,5.56,49.82,22.83,1.31
ResidualConv,k=2,11,8,10.59,1.56,65.87,21.53,1.44
ResidualConv,k=2,12,5,11.76,10.36,57.78,32.98,1.33
ResidualConv,k=2,13,10,5.99,2.02,53.68,21.51,0.79
ResidualConv,k=2,14,3,19.37,2.7,92.45,39.75,1.85
ResidualConv,k=2,15,8,7.44,3.27,47.08,25.16,1.28
ResidualConv,k=2,16,6,4.2,4.28,23.21,13.11,0.62
ResidualConv,k=2,17,7,23.01,14.71,120.03,55.22,2.63
ResidualConv,k=1,0,10,3.36,1.95,34.12,8.61,0.26
ResidualConv,k=1,1,11,3.21,6.73,32.76,17.94,0.67
ResidualConv,k=1,2,9,2.95,4.35,28.74,14.9,0.68
ResidualConv,k=1,3,7,7.03,3.43,47.11,18.52,0.71
ResidualConv,k=1,4,5,3.71,7.85,20.44,16.1,0.7
ResidualConv,k=1,5,2,2.17,3.51,8.74,6.45,0.51
ResidualConv,k=1,6,8,6.58,2.98,53.07,19.57,1.22
ResidualConv,k=1,7,13,5.98,4.4,61.67,21.22,0.97
ResidualConv,k=1,8,10,3.82,4.74,38.24,14.33,0.99
ResidualConv,k=1,9,6,37.75,6.27,178.88,82.25,3.42
ResidualConv,k=1,10,9,12.44,1.41,72.43,32.39,1.35
ResidualConv,k=1,11,4,16.7,10.43,76.35,43.04,1.21
ResidualConv,k=1,12,6,4.94,2.29,35.5,11.41,0.58
ResidualConv,k=1,13,12,10.58,11.25,76.19,28.78,1.76
ResidualConv,k=1,14,9,12.16,2.61,70.52,27.58,1.28
ResidualConv,k=1,15,7,6.96,3.11,36.17,15.69,0.62
ResidualConv,k=1,16,8,5.66,2.45,42.21,16.03,0.64
ResidualConv,k=1,17,10,6.86,1.71,54.07,23.57,1.0
ResidualConv,k=1,18,3,14.58,3.59,72.5,32.97,1.53
ResidualConv,k=1,19,8,20.97,4.21,110.25,50.54,2.08
ResidualConv,k=1,20,10,8.59,6.23,56.46,28.23,1.2
ResidualConv,k=1,21,4,6.0,3.74,28.92,11.74,0.79
ResidualConv,k=1,22,8,19.19,1.29,100.89,37.93,2.34
ResidualConv,k=1,23,3,6.5,15.41,42.44,19.23,1.36
ResidualConv,k=1,24,8,3.81,4.22,36.44,16.55,0.1
ResidualConv,k=1,25,12,2.56,2.89,42.61,15.99,0.5
ResidualConv,k=1,26,5,11.17,9.93,57.77,29.86,1.12
ResidualConv,k=1,27,5,1.86,4.18,23.11,8.8,0.57
ResidualConv,k=1,28,7,17.61,3.9,91.78,39.52,1.8
ResidualConv,k=1,29,8,4.56,3.12,30.43,10.36,0.78
ResidualConv,k=1,30,8,14.15,3.93,81.26,40.53,1.29
ResidualConv,k=1,31,8,22.52,16.9,120.43,56.52,2.12
ResidualConv,k=1,32,6,8.59,3.55,53.42,24.5,0.83
ResidualConv,k=1,33,4,6.34,4.87,44.69,13.83,0.97
ResidualConv,k=1,34,6,16.03,14.71,86.81,38.38,1.62
ResidualConv,k=1,35,8,6.12,3.27,40.04,17.18,0.6
TransformerBlock,Mono,0,76,30.48,15.83,117.17,81.03,4.25
TransformerBlock,k=8,0,5,4.22,1.97,36.71,12.95,0.21
TransformerBlock,k=8,1,6,34.13,5.87,161.33,72.94,3.24
TransformerBlock,k=8,2,7,2.19,1.65,23.21,4.29,0.32
TransformerBlock,k=8,3,7,12.66,7.64,70.21,32.98,1.52
TransformerBlock,k=8,4,9,7.92,1.91,56.63,25.15,0.95
TransformerBlock,k=4,0,8,21.87,2.32,111.24,46.07,2.24
TransformerBlock,k=4,1,9,5.4,13.6,39.69,21.51,0.78
TransformerBlock,k=4,2,11,4.99,12.06,43.81,17.13,0.66
TransformerBlock,k=4,3,6,23.36,2.38,117.29,57.54,2.29
TransformerBlock,k=4,4,5,4.63,1.04,32.68,16.61,0.45
TransformerBlock,k=4,5,4,9.03,3.4,48.08,23.02,0.94
TransformerBlock,k=4,6,5,14.52,0.81,69.96,30.75,1.09
TransformerBlock,k=4,7,11,1.7,5.65,32.32,13.53,0.53
TransformerBlock,k=4,8,5,4.52,9.71,29.54,11.13,0.3
TransformerBlock,k=2,0,2,8.73,7.85,41.68,21.58,0.78
TransformerBlock,k=2,1,9,13.21,6.72,86.06,32.42,1.63
TransformerBlock,k=2,2,2,12.11,6.29,62.07,30.8,1.17
TransformerBlock,k=2,3,5,12.69,2.13,70.71,27.66,1.36
TransformerBlock,k=2,4,7,4.39,2.71,38.37,15.13,0.7
TransformerBlock,k=2,5,5,8.3,1.14,43.97,23.26,1.0
TransformerBlock,k=2,6,7,8.44,1.25,54.27,18.76,0.75
TransformerBlock,k=2,7,9,4.68,2.33,38.85,16.07,0.95
TransformerBlock,k=2,8,2,5.75,5.3,27.68,13.18,0.42
TransformerBlock,k=2,9,6,11.49,8.62,65.41,34.03,1.27
TransformerBlock,k=2,10,2,12.3,0.73,59.13,26.19,0.89
TransformerBlock,k=2,11,6,5.18,3.72,33.93,16.89,0.54
TransformerBlock,k=2,12,8,7.43,4.03,50.07,20.02,1.14
TransformerBlock,k=2,13,8,1.66,1.33,31.56,9.38,0.99
TransformerBlock,k=2,14,8,10.05,2.36,60.23,26.21,1.31
TransformerBlock,k=2,15,7,7.22,1.59,44.31,17.74,0.77
TransformerBlock,k=2,16,4,3.56,2.59,12.29,4.02,0.22
TransformerBlock,k=2,17,7,4.48,1.39,36.99,13.67,0.86
TransformerBlock,k=1,0,6,4.33,2.32,39.31,18.6,0.54
TransformerBlock,k=1,1,9,2.73,7.76,31.31,13.28,0.48
TransformerBlock,k=1,2,7,5.01,2.24,30.15,17.93,0.36
TransformerBlock,k=1,3,6,12.86,7.18,75.65,30.81,1.19
TransformerBlock,k=1,4,6,1.88,5.35,11.63,6.63,0.49
TransformerBlock,k=1,5,8,4.63,5.36,40.58,11.19,0.5
TransformerBlock,k=1,6,8,8.17,2.29,50.91,27.48,0.77
TransformerBlock,k=1,7,9,2.82,4.02,34.28,11.3,0.27
TransformerBlock,k=1,8,11,5.58,6.08,39.36,22.91,0.27
TransformerBlock,k=1,9,3,4.49,2.84,26.44,16.03,0.95
TransformerBlock,k=1,10,11,11.89,3.62,65.36,29.57,1.17
TransformerBlock,k=1,11,8,3.61,1.68,28.41,13.66,0.53
TransformerBlock,k=1,12,3,2.26,2.05,12.85,4.75,0.29
TransformerBlock,k=1,13,8,11.86,1.9,65.45,32.78,1.18
TransformerBlock,k=1,14,8,8.1,4.28,59.79,23.21,1.18
TransformerBlock,k=1,15,8,6.6,2.3,43.1,21.7,1.01
TransformerBlock,k=1,16,4,9.56,0.84,51.26,27.79,0.67
TransformerBlock,k=1,17,7,4.9,3.53,31.02,14.97,0.1
TransformerBlock,k=1,18,6,5.95,3.07,48.3,15.08,0.52
TransformerBlock,k=1,19,3,10.14,3.29,45.94,24.91,1.06
TransformerBlock,k=1,20,10,11.96,3.44,69.94,24.39,1.16
TransformerBlock,k=1,21,10,6.1,1.68,48.37,21.06,1.41
TransformerBlock,k=1,22,4,5.61,1.33,29.47,15.92,0.56
TransformerBlock,k=1,23,2,17.14,12.09,84.56,37.45,1.43
TransformerBlock,k=1,24,10,3.55,2.02,28.58,17.84,0.36
TransformerBlock,k=1,25,6,4.21,1.84,24.9,14.57,0.33
TransformerBlock,k=1,26,10,2.91,4.4,37.18,10.57,0.54
TransformerBlock,k=1,27,5,3.25,2.18,15.01,7.39,0.1
TransformerBlock,k=1,28,8,18.76,8.8,96.23,44.13,2.38
TransformerBlock,k=1,29,10,10.35,0.58,64.36,32.76,1.22
TransformerBlock,k=1,30,5,7.2,19.35,48.07,21.24,0.64
TransformerBlock,k=1,31,6,16.44,1.68,82.63,28.88,1.43
TransformerBlock,k=1,32,8,10.19,0.95,65.0,23.39,0.7
TransformerBlock,k=1,33,7,2.15,1.99,18.46,7.33,0.36
TransformerBlock,k=1,34,5,3.6,1.88,13.44,7.67,0.9
TransformerBlock,k=1,35,7,14.48,2.95,78.52,35.2,1.61
UpsampleDecoder,Mono,0,74,19.51,11.78,116.29,69.68,3.32
UpsampleDecoder,k=8,0,5,2.87,4.41,27.29,12.34,0.65
UpsampleDecoder,k=8,1,4,13.07,3.09,53.25,27.92,1.02
UpsampleDecoder,k=8,2,6,4.44,1.57,36.83,12.19,0.56
UpsampleDecoder,k=8,3,8,5.48,1.2,40.79,15.96,0.44
UpsampleDecoder,k=8,4,7,17.61,7.06,100.85,47.6,1.84
UpsampleDecoder,k=4,0,7,3.51,8.56,27.06,15.58,0.96
UpsampleDecoder,k=4,1,7,2.68,1.48,24.39,13.88,0.32
UpsampleDecoder,k=4,2,6,3.53,4.4,28.44,14.81,0.25
UpsampleDecoder,k=4,3,8,2.76,1.93,25.62,9.95,0.52
UpsampleDecoder,k=4,4,1,6.83,2.37,25.99,12.94,0.76
UpsampleDecoder,k=4,5,5,5.14,5.56,29.24,17.68,0.71
UpsampleDecoder,k=4,6,8,11.02,8.85,61.99,32.87,1.02
UpsampleDecoder,k=4,7,8,11.23,3.73,61.03,24.16,0.93
UpsampleDecoder,k=4,8,6,8.36,5.19,42.07,21.88,1.18
UpsampleDecoder,k=2,0,7,7.39,6.4,55.17,27.26,1.25
UpsampleDecoder,k=2,1,3,20.55,2.67,102.85,43.19,2.04
UpsampleDecoder,k=2,2,5,6.24,15.84,32.41,23.18,0.85
UpsampleDecoder,k=2,3,3,19.02,3.55,89.12,42.03,1.62
UpsampleDecoder,k=2,4,12,2.75,2.32,26.76,12.85,0.73
UpsampleDecoder,k=2,5,9,22.57,3.48,117.65,54.68,2.12
UpsampleDecoder,k=2,6,8,5.64,1.99,41.53,20.52,0.93
UpsampleDecoder,k=2,7,7,1.28,3.61,22.15,10.46,0.14
UpsampleDecoder,k=2,8,10,10.01,0.8,69.28,32.45,1.2
UpsampleDecoder,k=2,9,4,28.22,8.08,126.48,63.94,2.83
UpsampleDecoder,k=2,10,8,2.34,0.95,27.91,16.18,0.45
UpsampleDecoder,k=2,11,7,5.12,2.59,42.52,14.36,1.11
UpsampleDecoder,k=2,12,8,9.54,3.1,55.49,23.84,0.69
UpsampleDecoder,k=2,13,7,1.96,18.96,22.41,10.11,0.56
UpsampleDecoder,k=2,14,7,4.82,3.86,31.35,13.92,0.55
UpsampleDecoder,k=2,15,8,4.75,3.91,22.97,16.19,0.65
UpsampleDecoder,k=2,16,8,5.94,6.36,42.23,19.4,0.76
UpsampleDecoder,k=2,17,5,3.8,4.91,30.04,12.68,0.8
UpsampleDecoder,k=1,0,7,10.24,7.85,63.57,27.64,0.87
UpsampleDecoder,k=1,1,4,3.53,6.18,6.09,14.46,0.24
UpsampleDecoder,k=1,2,10,9.09,5.08,54.41,28.06,1.05
UpsampleDecoder,k=1,3,8,3.85,3.24,29.85,14.09,0.71
UpsampleDecoder,k=1,4,6,10.12,5.03,57.27,24.93,0.6
UpsampleDecoder,k=1,5,10,8.38,2.75,58.78,22.57,0.91
UpsampleDecoder,k=1,6,8,2.6,2.62,28.97,6.63,0.15
UpsampleDecoder,k=1,7,10,34.3,4.3,177.82,74.71,3.67
UpsampleDecoder,k=1,8,6,8.1,4.73,45.85,19.18,0.9
UpsampleDecoder,k=1,9,3,5.06,0.44,23.94,12.75,0.8
UpsampleDecoder,k=1,10,8,4.21,3.6,30.36,10.67,0.82
UpsampleDecoder,k=1,11,5,5.98,3.92,41.63,17.74,0.62
UpsampleDecoder,k=1,12,8,7.19,2.69,37.67,15.92,0.82
UpsampleDecoder,k=1,13,4,28.03,21.72,143.02,65.61,2.97
UpsampleDecoder,k=1,14,8,10.19,1.04,67.03,32.06,1.32
UpsampleDecoder,k=1,15,13,6.61,6.41,62.89,22.46,0.93
